product_category_name                           qtde_produto  maior_peso  menor_peso  avg_peso        
----------------------------------------------  ------------  ----------  ----------  ----------------
agro_industria_e_comercio                       74            30000.0     50.0        5263.4054054054 
alimentos                                       82            8238.0      75.0        923.414634146341
alimentos_bebidas                               104           10800.0     50.0        1307.93269230769
artes                                           55            15400.0     100.0       1691.76363636364
artes_e_artesanato                              19            6850.0      100.0       1164.57894736842
artigos_de_festas                               26            27050.0     50.0        2705.76923076923
artigos_de_natal                                65            15400.0     50.0        1849.81538461538
audio                                           58            6663.0      100.0       641.637931034483
automotivo                                      1900          30000.0     50.0        2654.65052631579
bebes                                           919           30000.0     50.0        3655.20152505447
bebidas                                         81            9900.0      100.0       1736.17283950617
beleza_saude                                    2444          30000.0     50.0        1434.7937806874 
brinquedos                                      1411          30000.0     50.0        1869.35648476258
cama_mesa_banho                                 3029          40425.0     0.0         2456.4050841862 
casa_conforto                                   111           23000.0     100.0       3800.45045045045
casa_conforto_2                                 5             3750.0      425.0       1467.6          
casa_construcao                                 225           30000.0     50.0        3395.71555555556
cds_dvds_musicais                               1             550.0       550.0       550.0           
cine_foto                                       28            5500.0      100.0       795.785714285714
climatizacao                                    124           23300.0     100.0       4459.95967741936
consoles_games                                  317           30000.0     50.0        636.659305993691
construcao_ferramentas_construcao               400           30000.0     50.0        3550.0525       
construcao_ferramentas_ferramentas              39            4700.0      100.0       1047.82051282051
construcao_ferramentas_iluminacao               78            15750.0     150.0       2280.96153846154
construcao_ferramentas_jardim                   88            25750.0     65.0        2401.03409090909
construcao_ferramentas_seguranca                91            9450.0      53.0        950.769230769231
cool_stuff                                      789           30000.0     50.0        2566.57921419518
dvds_blu_ray                                    48            2600.0      90.0        381.5625        
eletrodomesticos                                370           30000.0     50.0        1979.65405405405
eletrodomesticos_2                              90            30000.0     250.0       9913.33333333333
eletronicos                                     517           24050.0     60.0        1275.08510638298
eletroportateis                                 231           30000.0     50.0        4012.39826839827
esporte_lazer                                   2867          30000.0     50.0        2024.67073596093
fashion_bolsas_e_acessorios                     849           21100.0     50.0        426.764428739694
fashion_calcados                                173           9000.0      100.0       1044.50867052023
fashion_esporte                                 19            1500.0      100.0       344.736842105263
fashion_roupa_feminina                          27            1700.0      200.0       572.222222222222
fashion_roupa_infanto_juvenil                   5             600.0       100.0       324.0           
fashion_roupa_masculina                         95            1900.0      100.0       559.736842105263
fashion_underwear_e_moda_praia                  53            2300.0      100.0       362.264150943396
ferramentas_jardim                              753           30000.0     50.0        3103.77689243028
flores                                          14            6000.0      200.0       1403.57142857143
fraldas_higiene                                 12            5100.0      200.0       1037.5          
industria_comercio_e_negocios                   68            30000.0     200.0       5929.19117647059
informatica_acessorios                          1639          24050.0     50.0        898.377669310555
instrumentos_musicais                           289           30000.0     50.0        3361.03806228374
la_cuisine                                      10            12500.0     450.0       4350.0          
livros_importados                               31            1300.0      150.0       596.774193548387
livros_interesse_geral                          216           13300.0     100.0       746.611111111111
livros_tecnicos                                 123           8900.0      110.0       1107.84552845528
malas_acessorios                                349           24500.0     100.0       3723.28366762178
market_place                                    104           30000.0     50.0        1544.10576923077
moveis_colchao_e_estofado                       10            30000.0     1700.0      13190.0         
moveis_cozinha_area_de_servico_jantar_e_jardim  94            30000.0     50.0        11598.5638297872
moveis_decoracao                                2657          30000.0     2.0         3008.26684230335
moveis_escritorio                               309           30000.0     50.0        12740.8673139159
moveis_quarto                                   45            30000.0     50.0        9997.22222222222
moveis_sala                                     156           30000.0     400.0       8934.84615384615
musica                                          27            9750.0      82.0        1213.51851851852
papelaria                                       849           29000.0     2.0         1763.11307420495
pc_gamer                                        3             2839.0      650.0       1429.66666666667
pcs                                             30            25950.0     200.0       7995.33333333333
perfumaria                                      868           16050.0     50.0        529.256912442396
pet_shop                                        719           30000.0     50.0        3088.85674547983
portateis_casa_forno_e_cafe                     31            16550.0     50.0        3071.51612903226
portateis_cozinha_e_preparadores_de_alimentos   10            10600.0     625.0       2517.5          
relogios_presentes                              1329          22175.0     50.0        509.287434161023
seguros_e_servicos                              2             1225.0      400.0       812.5           
sinalizacao_e_seguranca                         93            27100.0     100.0       2969.81720430108
tablets_impressao_imagem                        9             1100.0      100.0       381.444444444444
telefonia                                       1134          8100.0      50.0        236.506172839506
telefonia_fixa                                  116           6050.0      50.0        660.827586206897
utilidades_domesticas                           2335          30000.0     50.0        3020.79357601713
